index,age_upon_outcome,animal_id,animal_type,name,breed,color1,color2,date_of_birth,outcome_subtype,outcome_type,outcome_month,outcome_year
0,2 weeks,A684346,Cat,,domestic shorthair,orange,,2014-07-07 00:00:00,Partner,Transfer,7,2014
1,1 month,A685067,Cat,Lucy,domestic shorthair,blue ,white,2014-06-16 00:00:00,,Adoption,8,2014
2,3 months,A678580,Cat,*Frida,domestic shorthair,white,black,2014-03-26 00:00:00,Offsite,Adoption,6,2014
3,1 year,A675405,Cat,Stella Luna,domestic mediumhair,black,white,2013-03-27 00:00:00,,Return to Owner,3,2014
4,3 weeks,A670420,Cat,,domestic shorthair,black,white,2013-12-16 00:00:00,Partner,Transfer,1,2014
5,2 months,A684460,Cat,Elsa,domestic shorthair,brown,,2014-06-02 00:00:00,,Adoption,8,2014
6,8 months,A673952,Cat,,domestic shorthair,brown ,white,2013-07-05 00:00:00,SCRP,Transfer,3,2014
7,5 months,A686497,Cat,Chester,domestic shorthair,black,,2014-03-22 00:00:00,,Adoption,8,2014
8,2 months,A687965,Cat,*Oliver,domestic shorthair,orange,,2014-08-03 00:00:00,Foster,Adoption,10,2014
9,1 year,A668547,Cat,*Preston,domestic mediumhair,black,white,2012-12-04 00:00:00,Partner,Transfer,12,2013
10,2 months,A682393,Cat,*Bumble,siamese,seal,,2014-04-27 00:00:00,Partner,Transfer,7,2014
11,2 weeks,A681039,Cat,,domestic shorthair,black,,2014-05-27 00:00:00,Partner,Transfer,6,2014
12,2 months,A682532,Cat,,domestic shorthair,Breed Specific,,2014-04-14 00:00:00,,Adoption,7,2014
13,3 months,A683779,Cat,,domestic shorthair,black,,2014-04-15 00:00:00,,Adoption,7,2014
14,3 weeks,A686829,Cat,,domestic shorthair,black,,2014-08-05 00:00:00,Partner,Transfer,8,2014
15,3 years,A617061,Cat,Pumpkin,domestic mediumhair,orange,,2011-08-02 00:00:00,In Kennel,Died,9,2014
16,4 years,A682085,Cat,Winnie,russian blue,blue,,2010-06-24 00:00:00,,Adoption,7,2014
17,2 years,A692877,Cat,Snowflake,domestic shorthair,cream ,white,2012-11-26 00:00:00,Partner,Transfer,12,2014
18,7 years,A683856,Cat,Smoke,russian blue,blue,,2007-07-16 00:00:00,Foster,Adoption,8,2014
19,1 month,A683517,Cat,*Dora,domestic shorthair,Breed Specific,,2014-06-05 00:00:00,Partner,Transfer,7,2014
20,1 year,A688811,Cat,,domestic mediumhair,brown,,2013-09-24 00:00:00,SCRP,Transfer,9,2014
21,2 years,A680225,Cat,,domestic shorthair,Breed Specific,,2012-05-31 00:00:00,SCRP,Transfer,6,2014
